category_id,category_name
9.0,Cardio Equipment
48.0,Water Sports
46.0,Indoor/Outdoor Games
17.0,Cleats
48.0,Water Sports
17.0,Electronics
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
18.0,Men's Footwear
29.0,Shop By Sport
18.0,Men's Footwear
45.0,Fishing
17.0,Cleats
48.0,Water Sports
24.0,Women's Apparel
48.0,Water Sports
29.0,Shop By Sport
40.0,Accessories
45.0,Fishing
29.0,Shop By Sport
18.0,Men's Footwear
17.0,Cleats
43.0,Camping & Hiking
29.0,Shop By Sport
18.0,Men's Footwear
9.0,Cardio Equipment
29.0,Shop By Sport
18.0,Men's Footwear
18.0,Men's Footwear
24.0,Women's Apparel
45.0,Fishing
17.0,Cleats
17.0,Cleats
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
18.0,Men's Footwear
17.0,Cleats
46.0,Indoor/Outdoor Games
27.141224,Women's Apparel
17.0,Cleats
17.0,Cleats
17.0,Cleats
29.0,Girls' Apparel
18.0,Men's Footwear
43.0,Camping & Hiking
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
48.0,Water Sports
48.0,Water Sports
40.0,Accessories
18.0,Men's Footwear
9.0,Cardio Equipment
43.0,Camping & Hiking
45.0,Fishing
46.0,Indoor/Outdoor Games
29.0,Shop By Sport
45.0,Fishing
24.0,Women's Apparel
18.0,Men's Footwear
18.0,Men's Footwear
48.0,Water Sports
17.0,Cleats
45.0,Fishing
17.0,Cleats
29.0,Shop By Sport
29.0,Shop By Sport
17.0,Cleats
17.0,Cleats
45.0,Fishing
9.0,Cardio Equipment
17.0,Cleats
43.0,Camping & Hiking
48.0,Water Sports
43.0,Camping & Hiking
24.0,Women's Apparel
48.0,Water Sports
18.0,Men's Footwear
48.0,Water Sports
43.0,Camping & Hiking
46.0,Indoor/Outdoor Games
48.0,Water Sports
46.0,Indoor/Outdoor Games
48.0,Water Sports
18.0,Men's Footwear
43.0,Camping & Hiking
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
48.0,Water Sports
43.0,Camping & Hiking
17.0,Cleats
48.0,Water Sports
45.0,Fishing
17.0,Cleats
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
33.201733,Crafts
48.0,Water Sports
46.0,Indoor/Outdoor Games
45.0,Fishing
17.0,Cleats
48.0,Water Sports
18.0,Men's Footwear
43.0,Camping & Hiking
43.0,Camping & Hiking
59.0,CDs 
76.0,Women's Clothing
17.0,Cleats
29.0,Shop By Sport
48.0,Water Sports
43.0,Camping & Hiking
43.0,Camping & Hiking
45.0,Fishing
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
24.0,Women's Apparel
45.0,Fishing
48.0,Water Sports
24.0,Women's Apparel
18.0,Men's Footwear
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
48.0,Water Sports
29.0,Shop By Sport
24.0,Women's Apparel
24.0,Women's Apparel
9.0,Cardio Equipment
17.0,Cleats
75.0,Video Games
45.0,Fishing
9.0,Cardio Equipment
48.0,Water Sports
43.0,Hunting & Shooting
9.0,Cardio Equipment
18.0,Men's Footwear
24.0,Women's Apparel
18.0,Men's Footwear
17.0,Cleats
75.0,Video Games
24.0,Women's Apparel
24.0,Women's Apparel
17.0,Cleats
45.0,Fishing
18.0,Men's Footwear
26.0,Girls' Apparel
17.0,Cleats
37.0,Electronics
45.0,Fishing
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
13.0,Boxing & MMA
17.0,Cleats
17.0,Cleats
43.0,Camping & Hiking
24.0,Women's Apparel
48.0,Water Sports
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
5.9653378,Tennis & Racquet
45.0,Fishing
48.0,Water Sports
45.0,Fishing
48.0,Water Sports
37.0,Accessories
17.0,Cleats
62.667618,Cameras 
9.0,Cardio Equipment
69.897896,Health and Beauty
45.0,Fishing
43.0,Camping & Hiking
29.0,Shop By Sport
9.0,Cardio Equipment
17.0,Cleats
43.0,Camping & Hiking
18.0,Men's Footwear
43.0,Camping & Hiking
17.0,Cleats
9.0,Cardio Equipment
17.0,Cleats
45.0,Fishing
9.0,Cardio Equipment
43.0,Camping & Hiking
24.0,Women's Apparel
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
45.0,Fishing
18.0,Men's Footwear
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
18.0,Men's Footwear
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
35.0,Electronics
17.0,Cleats
48.0,Water Sports
29.0,Shop By Sport
17.0,Children's Clothing
29.0,Shop By Sport
63.0,Strength Training
43.0,Camping & Hiking
18.0,Men's Footwear
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
37.0,Electronics
48.0,Water Sports
48.0,Water Sports
46.0,Indoor/Outdoor Games
48.0,Water Sports
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
76.0,Women's Clothing
18.0,Men's Footwear
17.0,Cleats
45.0,Fishing
17.0,Cleats
17.0,Cleats
18.0,Men's Footwear
24.0,Women's Apparel
65.0,DVDs
9.0,Cardio Equipment
17.0,Cleats
18.0,Men's Footwear
9.0,Cardio Equipment
17.0,Cleats
68.12693,Garden
9.0,Cardio Equipment
17.0,Cleats
18.0,Men's Footwear
17.0,Cleats
29.0,Shop By Sport
18.0,Men's Footwear
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
63.0,Children's Clothing
13.0,Fitness Accessories
45.0,Fishing
17.0,Cleats
24.0,Women's Apparel
24.0,Women's Apparel
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
17.0,Cleats
45.0,Fishing
45.0,Fishing
17.0,Cleats
46.0,Indoor/Outdoor Games
45.0,Fishing
45.0,Fishing
46.0,Indoor/Outdoor Games
48.0,Water Sports
48.0,Water Sports
29.0,Golf Balls
9.0,Cardio Equipment
24.0,Women's Apparel
17.0,Cleats
72.0,Pet Supplies
24.0,Women's Apparel
18.0,Men's Footwear
9.0,Cardio Equipment
46.0,Water Sports
17.0,Cleats
9.0,Cardio Equipment
18.0,Men's Footwear
37.0,Golf Balls
29.0,Shop By Sport
17.0,Cleats
43.0,Camping & Hiking
29.0,Shop By Sport
18.0,Men's Footwear
45.0,Fishing
29.0,Shop By Sport
24.0,Women's Apparel
48.0,Water Sports
18.0,Men's Footwear
24.0,Women's Apparel
43.0,Camping & Hiking
9.0,Cardio Equipment
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
43.0,Camping & Hiking
48.0,Water Sports
24.0,Women's Apparel
48.0,Water Sports
45.0,Fishing
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
45.0,Fishing
46.0,Indoor/Outdoor Games
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
17.0,Cleats
24.0,Women's Apparel
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
45.0,Fishing
17.0,Cleats
24.0,Women's Apparel
48.0,Water Sports
45.0,Fishing
48.0,Water Sports
9.0,Cardio Equipment
43.0,Camping & Hiking
9.0,Cardio Equipment
48.0,Water Sports
17.0,Cleats
45.0,Fishing
17.0,Cleats
29.0,Shop By Sport
9.0,Cardio Equipment
24.0,Women's Apparel
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
9.0,Cardio Equipment
17.0,Cleats
45.0,Fishing
17.0,Cleats
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
24.0,Women's Apparel
18.0,Men's Footwear
35.0,Golf Apparel
17.0,Cleats
48.0,Water Sports
17.0,Cleats
43.0,Camping & Hiking
37.0,Electronics
29.0,Shop By Sport
24.0,Women's Apparel
48.0,Water Sports
24.0,Women's Apparel
24.0,Women's Apparel
43.0,Camping & Hiking
29.0,Shop By Sport
45.0,Fishing
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
29.0,Shop By Sport
45.0,Fishing
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
48.0,Water Sports
45.0,Fishing
6.0,Tennis & Racquet
43.0,Camping & Hiking
46.0,Indoor/Outdoor Games
36.0,Golf Gloves
17.0,Cleats
18.0,Men's Footwear
18.0,Men's Footwear
9.0,Cardio Equipment
43.0,Camping & Hiking
29.0,Shop By Sport
18.0,Men's Footwear
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
17.0,Cleats
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
43.0,Camping & Hiking
45.0,Fishing
17.0,Cleats
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
18.0,Men's Footwear
9.0,Cardio Equipment
18.0,Men's Footwear
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
5.9427066,Tennis & Racquet
18.0,Men's Footwear
18.0,Men's Footwear
24.0,Women's Apparel
29.0,Shop By Sport
18.0,Men's Footwear
9.0,Cardio Equipment
29.0,Shop By Sport
45.0,Fishing
37.0,Accessories
45.0,Fishing
29.0,Shop By Sport
45.0,Fishing
45.0,Fishing
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
43.0,Camping & Hiking
43.0,Camping & Hiking
45.0,Fishing
43.0,Camping & Hiking
18.0,Men's Footwear
45.0,Fishing
17.0,Cleats
5.419174,Tennis & Racquet
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
45.0,Fishing
9.0,Cardio Equipment
9.0,Cardio Equipment
24.0,Women's Apparel
24.0,Women's Apparel
18.0,Men's Footwear
45.0,Fishing
9.0,Cardio Equipment
17.0,Cleats
46.0,Indoor/Outdoor Games
48.0,Water Sports
17.0,Cleats
24.0,Women's Apparel
17.0,Cleats
37.0,As Seen on  TV!
24.0,Women's Apparel
45.0,Fishing
18.0,Men's Footwear
9.0,Cardio Equipment
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
75.0,Video Games
46.0,Indoor/Outdoor Games
17.0,Cleats
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
24.0,Women's Apparel
17.0,Cleats
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
24.0,Women's Apparel
9.0,Cardio Equipment
36.0,Golf Gloves
43.0,Camping & Hiking
48.0,Water Sports
35.570866,Golf Gloves
45.0,Fishing
67.01124,Garden
48.0,Water Sports
46.0,Indoor/Outdoor Games
17.0,Cleats
68.9781,Garden
17.0,Cleats
17.0,As Seen on  TV!
74.0,Toys
43.0,Camping & Hiking
45.0,Fishing
46.0,Indoor/Outdoor Games
17.0,Cleats
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
43.0,Camping & Hiking
18.0,Men's Footwear
24.0,Women's Apparel
43.0,Camping & Hiking
29.0,Shop By Sport
9.0,Cardio Equipment
7.0,Hockey
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
24.0,Women's Apparel
29.0,Shop By Sport
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
45.0,Fishing
45.0,Fishing
9.0,Cardio Equipment
45.0,Fishing
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
9.0,Electronics
24.0,Girls' Apparel
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
45.0,Fishing
17.0,Cleats
9.0,Cardio Equipment
76.0,Women's Clothing
43.0,Camping & Hiking
9.0,Cardio Equipment
17.0,Cleats
43.0,Camping & Hiking
17.0,Cleats
46.0,Indoor/Outdoor Games
29.0,Shop By Sport
18.0,Men's Footwear
43.0,Camping & Hiking
62.0,Cameras 
17.0,Cleats
17.0,Cleats
29.0,Shop By Sport
18.0,Men's Footwear
17.0,Cleats
43.0,Camping & Hiking
48.0,Water Sports
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
17.0,Cleats
48.0,Water Sports
45.0,Fishing
29.0,Shop By Sport
29.0,Shop By Sport
24.0,Women's Apparel
18.0,Men's Footwear
18.0,Men's Footwear
45.0,Fishing
18.0,Men's Footwear
18.0,Men's Footwear
24.0,Women's Apparel
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
29.0,Shop By Sport
43.0,Camping & Hiking
17.0,Cleats
9.0,Cardio Equipment
15.92765,Electronics
39.10119,Trade-In
75.0,Video Games
48.0,Water Sports
18.0,Men's Footwear
48.0,Water Sports
37.0,Electronics
17.0,Cleats
17.0,Cleats
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
48.0,Water Sports
48.0,Water Sports
46.0,Indoor/Outdoor Games
17.0,Cleats
18.0,Men's Footwear
36.0,Men's Golf Clubs
43.0,Camping & Hiking
9.0,Cardio Equipment
17.0,Cleats
29.0,Shop By Sport
69.0,Health and Beauty
45.0,Fishing
17.0,Cleats
17.0,Cleats
29.0,Shop By Sport
24.0,Women's Apparel
13.0,Electronics
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
43.0,Camping & Hiking
9.0,Cardio Equipment
45.0,Fishing
17.0,Cleats
17.0,Cleats
45.0,Fishing
29.0,Shop By Sport
29.0,Shop By Sport
61.0,Books 
24.0,Women's Apparel
63.481697,Children's Clothing
18.0,Men's Footwear
48.0,Water Sports
46.0,Indoor/Outdoor Games
48.0,Water Sports
24.0,Women's Apparel
48.0,Water Sports
45.0,Fishing
24.0,Women's Apparel
17.0,Cleats
18.0,Men's Footwear
36.2586,Golf Balls
45.0,Fishing
43.0,Camping & Hiking
45.0,Fishing
29.0,Girls' Apparel
18.0,Men's Footwear
18.0,Men's Footwear
45.0,Fishing
18.0,Men's Footwear
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
17.0,Cleats
29.0,Shop By Sport
43.0,Camping & Hiking
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
35.930954,Golf Gloves
40.0,Accessories
43.0,Camping & Hiking
17.0,Cleats
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
62.81651,Cameras 
29.0,Shop By Sport
18.0,Men's Footwear
18.0,Men's Footwear
48.0,Water Sports
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
38.0,Pet Supplies
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
71.0,Men's Clothing
17.0,Cleats
43.0,Camping & Hiking
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
17.0,Cleats
18.0,Men's Footwear
17.0,Cleats
24.0,Women's Apparel
40.0,Golf Balls
9.0,Cardio Equipment
18.0,Men's Footwear
18.0,Men's Footwear
9.0,Cardio Equipment
9.0,Cardio Equipment
48.0,Water Sports
29.0,Shop By Sport
17.0,Cleats
45.0,Fishing
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
45.0,Fishing
17.0,Cleats
41.0,Accessories
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
45.0,Fishing
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
24.0,Women's Apparel
29.0,Shop By Sport
17.0,Cleats
29.0,Shop By Sport
24.0,Women's Apparel
18.0,Men's Footwear
17.0,Cleats
45.0,Fishing
17.0,Cleats
43.0,Camping & Hiking
17.0,Cleats
75.0,Video Games
17.0,Cleats
45.0,Fishing
43.0,Camping & Hiking
29.0,Shop By Sport
18.0,Men's Footwear
24.0,Women's Apparel
63.113914,Children's Clothing
48.0,Water Sports
43.0,Camping & Hiking
48.0,Water Sports
18.0,Men's Footwear
29.0,Shop By Sport
9.0,Cardio Equipment
17.0,Cleats
24.0,Women's Apparel
18.0,Men's Footwear
48.0,Water Sports
17.0,Cleats
17.0,Cleats
43.0,Camping & Hiking
17.0,Cleats
29.0,Shop By Sport
45.0,Fishing
46.0,Indoor/Outdoor Games
37.85262,Electronics
45.0,Fishing
48.0,Water Sports
45.0,Fishing
48.0,Water Sports
17.0,Cleats
29.0,Shop By Sport
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
48.0,Water Sports
18.0,Men's Footwear
17.0,Cleats
11.536951,Electronics
29.0,Shop By Sport
43.0,Camping & Hiking
43.0,Camping & Hiking
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
48.0,Water Sports
48.0,Water Sports
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
61.0,CDs 
48.0,Water Sports
28.011795,Girls' Apparel
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
17.0,Cleats
18.0,Men's Footwear
45.0,Fishing
46.0,Indoor/Outdoor Games
48.0,Water Sports
12.038707,Electronics
35.0,Electronics
18.0,Men's Footwear
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
48.0,Water Sports
43.0,Camping & Hiking
18.0,Men's Footwear
43.0,Camping & Hiking
24.0,Women's Apparel
43.0,Camping & Hiking
9.0,Cardio Equipment
17.0,Cleats
24.0,Women's Apparel
45.0,Fishing
48.0,Water Sports
74.0,Toys
36.0,Golf Balls
17.0,Cleats
48.0,Water Sports
43.0,Camping & Hiking
29.0,Shop By Sport
29.0,Shop By Sport
48.0,Water Sports
17.0,Cleats
45.0,Fishing
14.741905,Electronics
43.0,Camping & Hiking
43.0,Camping & Hiking
18.0,Men's Footwear
37.0,Accessories
9.0,Cardio Equipment
9.0,Cardio Equipment
72.0,Pet Supplies
46.0,Indoor/Outdoor Games
17.0,Electronics
17.0,Cleats
18.0,Men's Footwear
43.0,Camping & Hiking
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
17.0,Cleats
17.0,Cleats
46.0,Indoor/Outdoor Games
18.0,Men's Footwear
17.0,Cleats
45.0,Fishing
18.0,Men's Footwear
24.0,Women's Apparel
43.0,Camping & Hiking
17.0,Cleats
43.0,Camping & Hiking
18.0,Men's Footwear
48.0,Water Sports
12.0,Boxing & MMA
9.0,Cardio Equipment
45.0,Hunting & Shooting
48.0,Water Sports
37.233795,Electronics
48.0,Water Sports
24.0,Women's Apparel
9.0,Cardio Equipment
17.0,Cleats
73.0,Sporting Goods
37.0,Golf Gloves
43.0,Camping & Hiking
17.0,Cleats
45.0,Fishing
45.0,Fishing
18.0,Men's Footwear
45.0,Fishing
45.0,Fishing
48.0,Water Sports
40.0,Electronics
17.0,Cleats
46.0,Indoor/Outdoor Games
46.0,Indoor/Outdoor Games
48.0,Water Sports
46.0,Indoor/Outdoor Games
48.0,Water Sports
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
17.0,Cleats
17.0,Cleats
43.0,Camping & Hiking
48.0,Water Sports
17.0,Cleats
18.0,Men's Footwear
43.0,Camping & Hiking
48.0,Water Sports
48.0,Water Sports
24.0,Women's Apparel
48.0,Water Sports
24.0,Women's Apparel
45.0,Fishing
9.0,Cardio Equipment
24.0,Women's Apparel
17.0,Cleats
43.0,Camping & Hiking
46.0,Indoor/Outdoor Games
17.0,Cleats
17.0,Cleats
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
9.0,Cardio Equipment
24.0,Women's Apparel
48.0,Water Sports
29.0,Shop By Sport
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
48.0,Water Sports
45.0,Fishing
48.0,Water Sports
24.0,Women's Apparel
17.0,Cleats
37.0,Golf Shoes
17.0,Cleats
43.0,Camping & Hiking
18.0,Men's Footwear
45.0,Fishing
18.0,Men's Footwear
9.0,Cardio Equipment
17.0,Cleats
17.0,Cleats
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
61.0,Baby 
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
24.0,Girls' Apparel
17.0,Cleats
18.0,Men's Footwear
29.0,Shop By Sport
17.0,Cleats
18.0,Men's Footwear
29.0,Shop By Sport
17.0,Cleats
29.0,Golf Balls
17.0,Cleats
46.0,Indoor/Outdoor Games
9.0,Cardio Equipment
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
45.0,Fishing
43.0,Camping & Hiking
17.0,Women's Golf Clubs
61.0,Cameras 
18.0,Men's Footwear
17.0,Cleats
18.0,Men's Footwear
29.0,Shop By Sport
18.0,Men's Footwear
29.0,Shop By Sport
45.0,Fishing
60.978886,Books 
24.0,Women's Apparel
45.0,Fishing
29.0,Shop By Sport
17.0,Cleats
17.0,Cleats
43.0,Camping & Hiking
45.0,Fishing
17.0,Cleats
45.0,Fishing
43.0,Camping & Hiking
45.0,Fishing
9.0,Cardio Equipment
17.0,Cleats
29.0,Shop By Sport
24.0,Women's Apparel
29.0,Shop By Sport
46.0,Indoor/Outdoor Games
17.0,Cleats
36.0,Golf Gloves
54.92319,Books 
18.0,Men's Footwear
17.0,Cleats
24.0,Women's Apparel
24.0,Women's Apparel
46.0,Indoor/Outdoor Games
24.0,Women's Apparel
45.0,Fishing
18.0,Men's Footwear
48.0,Water Sports
38.0,Electronics
24.0,Women's Apparel
48.0,Water Sports
24.0,Women's Apparel
43.0,Camping & Hiking
46.0,Indoor/Outdoor Games
76.0,Women's Clothing
3.0,Baseball & Softball
48.0,Water Sports
48.0,Water Sports
29.0,Shop By Sport
43.0,Camping & Hiking
48.0,Water Sports
45.0,Fishing
46.0,Indoor/Outdoor Games
43.0,Camping & Hiking
17.0,Cleats
48.0,Water Sports
