sales,profit_per_order,sales_per_customer,order_item_product_price,order_item_total_amount,order_item_profit_ratio,order_item_quantity,order_profit_per_order
99.99,34.448338,92.49099,99.99,84.99157,0.41,1.0,32.083145
199.99,91.19354,181.99008,199.99,181.99,0.48,1.0,91.23587
99.96,8.313806,89.96643,49.98,93.81015,0.09,2.0,6.9655495
119.98,-89.463196,99.15065,59.99,99.8906,-0.8,2.0,-95.4014
199.99,44.72259,170.97824,199.99,171.07587,0.27,1.0,44.569
129.99,76.1004,137.4536,39.99,145.46329,0.49,4.0,81.08791
199.92,-54.34529,167.98117,49.98,167.99,-0.56984335,4.0,-72.914665
129.99,-163.6284,120.89,129.99,116.99,-1.55,1.0,-169.01434
129.99,29.792816,113.09,129.99,113.15623,0.27,1.0,27.000895
159.96,12.527968,123.49,39.99,127.39,0.099622846,4.0,11.838907
129.99,40.463943,107.89,129.99,111.575935,0.38,1.0,43.503628
399.98,147.01009,326.84012,399.98,299.98,0.48,1.0,144.01884
299.95,87.02731,290.97644,59.99,290.95166,0.31,5.0,87.36131
199.99,50.661564,193.99,199.99,189.0,0.28,1.0,48.689564
150.0,34.895645,126.72665,50.0,123.49,0.26,3.0,35.82906
199.99,80.53287,196.68074,199.99,196.8208,0.38,1.0,81.158134
179.97,75.887344,159.99,39.99,159.95674,0.49,4.0,75.679405
129.99,43.940407,109.19,24.99,107.89,0.35,5.0,45.734226
399.98,40.49599,335.98,399.98,347.19778,0.13,1.0,41.16128
99.99,47.352356,98.38,39.99,98.38,0.48,3.0,47.37312
129.99,47.081295,129.99,129.99,129.1051,0.35,1.0,52.03805
299.95,105.44884,248.98,59.99,254.96844,0.43,5.0,107.96885
299.98,-27.191124,272.98,299.98,284.9685,-0.13,1.0,-17.345127
79.98,29.647333,62.936577,39.99,64.493286,0.45,2.0,28.622063
129.99,-24.542011,104.41055,129.99,99.96782,-0.20965783,1.0,-28.199287
357.1,175.2145,371.98,99.99,378.17902,0.48,4.0,172.003
79.98,20.592165,67.45651,39.99,59.626797,0.29,2.0,19.965775
129.99,-97.24257,123.49,129.99,120.89,-0.8,1.0,-96.09058
129.99,9.131696,126.22934,129.99,127.39,0.08,1.0,6.831359
239.96,82.73469,185.99,50.0,188.99,0.45,4.0,78.58626
399.98,-643.0045,378.12772,399.98,379.96298,-1.7,1.0,-673.17944
179.97,63.721046,159.94025,59.99,167.37,0.41,3.0,64.352455
239.96,31.682447,195.99521,59.99,198.03123,0.11,4.0,33.95732
199.92,63.448017,191.96748,49.98,189.99057,0.34,4.0,56.74875
499.95,78.71959,411.09225,99.99,404.36014,0.2,5.0,79.829636
129.99,44.459053,127.39,129.99,124.79,0.35,1.0,48.26285
239.96,54.00648,199.99,59.99,199.17,0.27,4.0,54.870354
150.0,52.650555,169.99745,49.98,167.98576,0.33,3.0,55.432682
199.98,65.52749,170.07,39.99,179.97,0.35,5.0,61.136673
119.98,-17.500723,87.10036,59.99,87.96,-0.20210451,2.0,-15.158615
179.97,66.68983,142.44298,59.99,149.38,0.48,3.0,63.989452
119.98,-11.713809,118.29,59.99,120.4279,-0.08,2.0,-11.137604
59.994244,27.012688,48.39716,30.0,48.82628,0.5,2.0,27.737318
129.99,35.965538,117.5781,129.99,117.590744,0.29,1.0,42.048347
299.98,112.11756,319.98,299.98,299.99,0.36,1.0,107.956024
129.99,12.721836,107.96965,129.99,108.10421,0.1,1.0,12.586501
199.92,74.81397,165.99873,49.98,159.63972,0.49,4.0,79.883575
199.99,11.842418,173.9935,199.99,181.98027,0.0,1.0,10.08204
199.99,1.0343983,188.9624,199.99,179.99747,-0.03,1.0,2.2897367
124.955215,50.298737,99.97171,24.99,100.78,0.47,5.0,52.294857
129.99,30.485455,100.01924,129.99,103.99,0.29,1.0,28.331846
499.95,180.13777,467.98642,99.99,453.7464,0.36,5.0,181.57088
299.98,91.830925,318.86078,299.98,299.76666,0.31,1.0,91.1629
399.98,131.60786,347.98,399.98,335.98,0.36,1.0,128.23416
99.96,33.165504,97.49,49.98,98.99076,0.34,2.0,34.201145
119.98,31.555159,101.978455,39.99,104.038345,0.34,3.0,32.141796
399.98,5.7950664,339.98,399.98,335.98,0.058592774,1.0,7.746261
50.0,-204.3779,49.993286,50.0,53.974907,-2.6171517,1.0,-194.97086
129.99,-165.23405,118.83246,129.99,122.15357,-1.6,1.0,-110.35262
129.99,-94.57611,110.49,129.99,109.19,-0.77,1.0,-119.7511
199.99,56.193565,179.99,199.99,179.99152,0.33,1.0,57.043663
59.99,-15.494438,49.200085,59.99,48.75576,-0.24,1.0,-13.678007
399.98,180.58572,351.98,399.98,359.98,0.48,1.0,181.80397
59.99,23.421797,50.99,59.99,49.19,0.47,1.0,24.625042
199.98,45.283573,149.53058,39.99,163.77763,0.27,5.0,43.550438
179.97,43.980618,159.99,39.99,159.90178,0.29,4.0,39.99752
179.97,-26.713684,177.97147,59.99,174.67526,-0.06061557,3.0,-24.263666
299.95,116.52838,263.98,59.99,271.97592,0.45,5.0,114.91186
399.98,96.605804,383.22043,399.98,379.98,0.28,1.0,108.48276
499.95,122.53524,473.61417,99.99,473.05728,0.26,5.0,119.005295
299.95,-145.84673,290.98,59.99,287.98,-0.73,5.0,-114.76181
299.98,-64.99711,237.50243,299.98,239.98,-0.25,1.0,-79.659996
199.99,41.71055,195.98706,199.99,196.0,0.25,1.0,42.54058
299.98,63.802906,287.9706,299.98,296.98,0.22,1.0,67.73196
150.0,-341.61166,163.94734,50.0,148.44,-1.759714,3.0,-331.99606
199.99,5.2975554,185.97636,199.99,191.99326,0.06,1.0,4.1736255
129.99,30.787241,103.99,129.99,104.21248,0.29,1.0,28.581306
199.99,-29.389004,199.54572,199.99,197.98474,-0.16,1.0,-34.772823
299.98,126.45596,293.98,299.98,287.96716,0.42,1.0,128.96223
49.98,11.1050005,42.484642,49.98,42.82639,0.25,1.0,10.275372
199.99,90.746445,197.98384,199.99,193.99,0.48,1.0,87.53163
249.9,92.92348,245.98,49.98,248.98,0.36,5.0,95.97334
199.99,58.829147,159.99,199.99,161.95128,0.35493928,1.0,57.409523
129.99,14.247739,106.14621,129.99,99.32432,0.14,1.0,15.3032255
299.98,70.66988,234.45078,299.98,227.52426,0.32955992,1.0,71.55357
129.99,14.753159,128.69,129.99,130.69368,0.1204575,1.0,14.576373
49.98,19.947884,43.290974,49.98,43.5,0.5,1.0,15.871987
199.99,80.89535,163.99,199.99,159.99,0.49,1.0,84.069374
299.98,16.708416,247.45811,299.98,245.98,0.02,1.0,17.214382
239.96,78.0191,231.67755,59.99,235.16,0.33,4.0,76.868645
199.99,41.964146,168.19783,199.99,167.99,0.25,1.0,45.72
399.98,155.80168,327.98,399.98,335.98,0.47,1.0,159.17474
299.95,65.529686,272.98,59.99,263.96127,0.25,5.0,64.35682
49.98,13.237326,39.993366,49.98,40.0,0.33,1.0,12.990201
99.96,35.444065,74.97,49.98,78.04524,0.46,2.0,39.36066
119.97,-58.683605,89.79216,19.53449,84.983734,-0.67,5.0,-36.160225
199.99,85.31752,173.99,199.99,179.99,0.48,1.0,91.03269
49.98,1.6490184,45.484146,49.98,46.48,-0.14438948,1.0,2.9469497
399.98,-59.402725,379.98,399.98,379.98,-0.22,1.0,-65.27558
299.95,-33.886402,272.98,59.99,283.48,-0.11,5.0,-40.493904
199.99,86.98803,191.98863,199.99,188.93314,0.47,1.0,91.90153
129.99,-20.276505,124.5,129.99,126.09,-0.22,1.0,-14.854297
299.98,-32.612793,278.98,299.98,272.97293,-0.20350304,1.0,-37.099182
299.98,66.84555,248.98,299.98,248.21007,0.28,1.0,66.36464
11.406322,7.3598022,10.357731,11.54,10.250008,0.47,1.0,11.217727
210.63422,75.42537,173.99,293.04,179.93839,0.45,1.0,78.65191
299.95,94.02049,247.45119,59.99,239.98,0.38,5.0,93.85351
100.0,45.081345,102.23993,39.99,99.65346,0.46,3.0,43.69872
199.99,54.339832,169.97241,199.99,165.99,0.33,1.0,53.268852
299.98,60.77648,263.9756,299.98,268.0391,0.25,1.0,63.614426
299.98,114.51169,272.98,299.98,269.96323,0.44,1.0,110.76907
399.98,97.22705,331.98,399.98,323.06567,0.31,1.0,102.98063
149.94,40.377197,128.69,49.98,128.69,0.31,3.0,39.367786
129.99,52.300488,124.544556,129.99,130.4919,0.39,1.0,55.0791
199.99,-268.2661,173.99,50.0,169.99522,-1.65,4.0,-262.68842
399.98,145.09047,391.98,399.98,391.4931,0.34,1.0,144.12708
199.99,55.308296,175.95857,199.99,179.99,0.33,1.0,57.41142
150.0,43.30865,159.99,50.0,149.9737,0.29,3.0,46.797165
129.99,29.993044,126.09,129.99,128.17279,0.25,1.0,27.540754
129.99,25.506874,112.48402,129.99,114.34939,0.25,1.0,30.249397
249.9,75.64718,213.421,49.98,232.76,0.35,5.0,69.743256
199.99,31.056274,198.49959,199.99,195.98875,0.14,1.0,31.932343
199.95,46.758926,188.98294,39.99,189.99,0.25,5.0,46.451622
100.0,13.991081,90.963486,50.0,94.48715,0.19,2.0,18.065569
50.0,11.239026,43.953793,50.0,45.491936,0.27,1.0,10.643114
299.95,108.95663,236.16264,99.99,232.76,0.488186,3.0,122.9274
179.97,16.248207,185.99,59.99,181.9475,0.09,3.0,16.012793
39.75,7.2036295,33.04511,34.99,31.008152,0.25,1.0,7.5636387
399.98,174.0125,335.12582,399.98,335.98,0.49,1.0,168.42757
357.1,11.767836,350.42804,99.99,339.98,-0.1,4.0,13.369434
199.99,58.87725,168.92358,199.99,170.95111,0.35,1.0,57.423016
79.98,21.622795,74.55444,24.99,70.6074,0.3,3.0,19.200241
361.69443,117.1042,363.98,99.99,359.98,0.35,4.0,122.36232
129.99,58.757717,115.013054,129.99,116.06897,0.48,1.0,61.502377
150.24332,42.063198,120.89,50.0,123.49,0.34,3.0,38.69892
129.99,33.073574,110.16284,129.99,113.09,0.27,1.0,33.810287
179.97,53.785446,167.99,59.99,169.99222,0.35,3.0,50.53146
39.75,12.00421,36.468605,36.98509,36.404766,0.34,1.0,12.628314
50.0,17.263803,47.01379,50.0,47.483418,0.36,1.0,14.919958
50.0,18.137747,48.88027,50.0,48.997253,0.36,1.0,19.795805
59.99,13.070798,65.85157,59.99,64.03366,0.25,1.0,17.44794
399.98,-87.89685,324.93533,399.98,319.98,-0.25,1.0,-74.56737
129.99,22.74158,104.43959,129.99,106.59,0.21,1.0,21.279827
79.98,29.428066,82.97505,39.99,87.99413,0.36,2.0,31.798964
59.99,12.451888,56.99,59.99,54.59,0.25,1.0,11.459027
49.98,21.945318,44.986073,50.0,44.0,0.48,1.0,21.125267
399.98,-118.868286,299.98428,399.98,299.97882,-0.3624678,1.0,-104.99895
129.99,37.69458,134.83075,39.99,143.96873,0.27,4.0,38.4259
159.91367,-141.63768,154.97545,49.98,163.99,-0.8,3.0,-133.80984
129.99,-36.86588,123.49,129.99,126.09,-0.22956693,1.0,-24.459723
299.98,-71.27121,339.97278,84.4,335.98,-0.23,4.0,-70.030495
239.96,-28.449726,199.94012,59.99,198.48726,-0.2,4.0,-33.34611
59.99,2.493132,63.935722,59.99,57.59,0.02,1.0,3.1628995
299.98,99.018974,251.96548,299.98,253.62119,0.36,1.0,104.72939
179.97,81.144226,165.99,50.0,163.99,0.48,3.0,77.25088
199.99,11.704351,181.9618,199.99,191.97092,-0.32627973,1.0,12.306659
129.99,30.867466,126.09,129.99,129.99,0.26,1.0,31.891357
200.0,46.20578,195.98068,50.0,197.1911,0.21,4.0,47.221542
100.0,29.401323,79.97,50.0,78.55617,0.34,2.0,28.440458
199.98,88.83078,191.99,49.98,189.98398,0.46,4.0,95.98741
399.98,27.999615,327.98,399.98,335.9707,0.06,1.0,26.952425
199.99,36.424377,165.98468,199.99,163.99,0.25,1.0,34.95609
399.98,101.318855,347.98,399.98,341.00433,0.29,1.0,98.01844
199.99,17.414665,175.99,199.99,175.99,0.1,1.0,21.828638
129.99,11.605848,116.99,24.99,118.29,0.08,5.0,14.667109
239.96,-18.985865,239.93019,59.99,237.56,-0.2,4.0,-19.697584
452.04,144.70743,379.98,452.04,377.98,0.42543828,1.0,141.16422
299.97,100.51363,283.48,99.99,284.96426,0.3590691,3.0,102.72077
299.95,26.288956,239.98,199.99,230.36,0.11,1.0,21.630424
