department_id,department_name
3.0,Footwear
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
3.0,Footwear
7.0,Fan Shop
4.0,Apparel
4.0,Apparel
5.0,Golf
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
5.0,Golf
7.0,Fan Shop
5.0,Golf
6.0,Outdoors
7.0,Fan Shop
5.0,Golf
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
5.0,Golf
4.0,Apparel
3.0,Footwear
5.0,Golf
4.0,Apparel
4.0,Apparel
5.0,Golf
7.0,Fan Shop
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
3.0,Footwear
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
5.0,Golf
4.0,Apparel
4.0,Apparel
4.0,Apparel
5.0,Golf
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
6.0,Outdoors
4.0,Apparel
3.0,Footwear
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
5.0,Golf
7.0,Fan Shop
5.0,Golf
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
5.0,Golf
5.0,Golf
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
3.0,Footwear
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
5.0,Golf
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
6.0,Outdoors
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
9.0,Discs Shop
4.0,Apparel
4.0,Apparel
5.0,Golf
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
7.0,Fan Shop
4.0,Apparel
5.0,Golf
7.0,Fan Shop
7.0,Fan Shop
5.0,Golf
4.0,Apparel
4.0,Apparel
7.0,Fan Shop
7.0,Fan Shop
5.0,Golf
5.0,Golf
5.0,Golf
3.0,Footwear
4.0,Apparel
9.0,Discs Shop
7.0,Fan Shop
3.0,Footwear
7.0,Fan Shop
7.0,Fan Shop
3.0,Footwear
4.0,Apparel
5.0,Golf
4.0,Apparel
4.0,Apparel
9.0,Discs Shop
5.0,Golf
5.0,Golf
4.0,Apparel
7.0,Fan Shop
4.0,Apparel
5.0,Golf
4.0,Apparel
6.0,Outdoors
7.0,Fan Shop
